Step(mm),dotNum1,dotNum2,dotNum3,dotNum4,dotNum5,dotNum6,dotNum7,dotNum8,dotNum9,dotNum10,dotNum11,dotNum12,dotNum13,dotNum14,dotNum15,dotNum16
95,45.60,46.96,40.06,28.55,20.02,16.53,15.46,15.10,15.01,15.00,15.01,15.06,15.00,15.00,15.00,25.99
96,46.37,46.33,38.49,26.94,19.26,16.27,15.36,15.07,15.00,15.00,15.01,15.17,15.00,15.00,15.00,25.93
97,46.92,45.55,36.81,25.42,18.60,16.04,15.29,15.05,15.00,15.00,15.02,15.27,15.00,15.00,15.06,27.35
98,47.24,44.58,35.05,24.03,18.03,15.85,15.22,15.03,15.00,15.00,15.03,15.28,15.00,15.00,15.09,28.86
99,47.35,43.47,33.27,22.79,17.55,15.69,15.17,15.02,15.00,15.00,15.04,15.35,15.00,15.00,22.46,28.79
100,47.26,42.25,31.51,21.71,17.15,15.55,15.13,15.01,15.00,15.00,15.06,15.35,15.00,15.20,23.58,28.70
101,46.95,40.87,29.76,20.73,16.79,15.44,15.09,15.01,15.00,15.00,15.10,15.42,15.00,15.25,23.53,28.62
102,46.47,39.36,28.10,19.90,16.49,15.35,15.06,15.00,15.00,15.01,15.13,15.43,15.00,15.25,24.77,30.17
103,45.81,37.73,26.53,19.43,16.23,15.28,15.04,15.00,15.00,15.01,15.18,15.54,15.00,15.32,29.26,30.09
104,44.97,36.04,25.06,18.54,16.01,15.22,15.03,15.00,15.00,15.01,15.23,15.67,15.00,15.40,30.85,30.00
105,44.01,34.31,23.73,18.00,15.82,15.17,15.02,15.00,15.00,15.02,15.29,15.66,15.00,15.79,30.78,29.92
106,42.88,32.54,22.55,18.03,15.67,15.12,15.01,15.00,15.00,15.02,15.37,16.25,15.00,22.72,32.41,29.82
107,41.62,30.79,21.50,17.13,15.54,15.09,15.01,15.00,15.00,15.03,15.45,16.52,15.00,22.67,34.11,29.74
108,40.22,29.12,20.58,17.15,15.43,15.06,15.00,15.00,15.00,15.05,15.54,16.84,15.00,22.61,37.57,29.66
109,38.73,27.53,19.79,16.70,15.35,15.04,15.00,15.00,15.01,15.07,15.71,17.71,15.00,22.55,39.18,29.56
110,37.11,26.01,19.09,16.50,15.27,15.03,15.00,15.00,15.01,15.14,15.87,18.24,15.00,22.49,39.09,29.48
111,35.43,24.63,18.49,16.16,15.21,15.02,15.00,15.00,15.02,15.18,16.07,18.86,15.00,22.43,38.98,29.39
112,33.72,23.38,17.96,16.03,15.16,15.01,15.00,15.00,15.03,15.31,16.30,19.34,15.00,22.37,38.88,29.30
113,31.98,22.26,17.50,15.73,15.12,15.01,15.00,15.00,15.05,15.36,16.59,19.53,15.00,22.32,38.78,29.22
114,30.28,21.27,17.11,15.54,15.09,15.01,15.00,15.00,15.07,15.46,16.93,19.49,15.98,22.27,38.67,29.14
115,28.64,20.41,16.77,15.55,15.06,15.00,15.00,15.00,15.10,15.57,17.33,19.45,16.20,23.39,38.55,29.04
116,27.10,19.65,16.47,15.38,15.04,15.00,15.00,15.00,15.13,15.69,18.28,19.40,16.19,23.33,40.06,28.96
117,25.66,19.00,16.22,15.28,15.03,15.00,15.00,15.01,15.17,15.90,18.34,20.19,16.17,23.26,42.77,28.87
118,24.36,18.41,16.01,15.22,15.02,15.00,15.00,15.02,15.25,16.10,18.98,21.08,17.64,23.20,42.68,28.78
119,23.17,17.91,15.83,15.17,15.01,15.00,15.00,15.04,15.31,16.34,19.71,23.24,17.61,23.13,42.55,28.68
