Step(mm),dotNum1,dotNum2,dotNum3,dotNum4,dotNum5,dotNum6,dotNum7,dotNum8,dotNum9,dotNum10,dotNum11,dotNum12,dotNum13,dotNum14,dotNum15,dotNum16
110,37.11,26.01,19.09,16.50,15.27,15.03,15.00,15.00,15.01,15.14,15.87,18.24,,,,
111,35.43,24.63,18.49,16.16,15.21,15.02,15.00,15.00,15.02,15.18,16.07,18.86,,,,
112,33.72,23.38,17.96,16.03,15.16,15.01,15.00,15.00,15.03,15.31,16.30,19.34,,,,
113,31.98,22.26,17.50,15.73,15.12,15.01,15.00,15.00,15.05,15.36,16.59,19.53,,,,
114,30.28,21.27,17.11,15.54,15.09,15.01,15.00,15.00,15.07,15.46,16.93,19.49,,,,
115,28.64,20.41,16.77,15.55,15.06,15.00,15.00,15.00,15.10,15.57,17.33,19.45,,,,
116,27.10,19.65,16.47,15.38,15.04,15.00,15.00,15.00,15.13,15.69,18.28,19.40,,,,
117,25.66,19.00,16.22,15.28,15.03,15.00,15.00,15.01,15.17,15.90,18.34,20.19,,,,
118,24.36,18.41,16.01,15.22,15.02,15.00,15.00,15.02,15.25,16.10,18.98,21.08,,,,
119,23.17,17.91,15.83,15.17,15.01,15.00,15.00,15.04,15.31,16.34,19.71,23.24,,,,
